0 Twin
1 Sniper
2 Machine Gun
3 Flank Guard
4 Director
5 Pounder
6 Trapper
8 Single
0,0 Double Twin
0,1 Triple Shot
0,3 Hexa Tank
0,4 Wark
0,5 Dual
0,6 Bulwark
0,7 Musket
1,0 Assassin
1,1 Hunter
1,3 Rifle
1,4 Bushwhacker
1,5 Railgun
2,1 Minigun
2,2 Gunner
2,3 Diesel
2,4 Machine Trapper
2,5 Sprayer
2,6 Gadget Gun
3,1 Tri-Angle
3,2 Auto-3
3,3 Trap Guard
3,4 Tri-Trapper
3,5 Triple Twin
4,0 Overseer
4,1 Cruiser
4,2 Underseer
4,3 Spawner
4,4 Directordrive
4,5 Honcho
4,6 Doper
4,7 Manager
5,0 Destroyer
5,1 Builder
5,2 Artillery
5,3 Launcher
5,4 Shotgun
5,5 Eagle
5,6 Subverter
5,7 Bruiser
6,3 Pen
6,4 Mech
6,7 Barricade
6,8 Overtrapper
6,9 Mega Trapper
6,10 Sawed Off
8,0 Duo
8,1 Sharpshooter
8,3 Ternion
8,4 Coordinator
8,6 Tricker
8,7 Mono
8,8 Avian
8,9 Custodian
8,10 Assistant
8,11 Auto-Single
0,0,1 Hewn Double
0,0,2 Auto-Double
0,0,3 Bent Double
0,0,4 Double Flank Twin
0,0,6 Warkwark
0,0,8 Double Musket
0,0,9 Overdouble Twin
0,1,0 Penta Shot
0,1,1 Spreadshot
0,1,2 Bent Hybrid
0,1,4 Triplet
0,1,5 Split Shot
0,1,6 Auto-Triple Shot
0,1,10 Waarrk
0,1,11 Threefold
0,1,12 Flintlock
0,1,13 Bent Bulwark
0,3,0 Octo Tank
0,3,2 Hexa-Trapper
0,3,3 Death Star
0,3,4 Auto-Hexa Tank
0,3,5 Mingler
0,3,7 Triple Flank Twin
0,4,8 Coalesce
0,4,9 Auto-Wark
0,5,2 Ravisher
0,5,3 Vulture
0,5,4 Nimrod
0,5,5 Auto-Dual
0,5,6 Bifold
0,5,7 Dyadic
0,6,0 Parapet
0,6,1 Partition
0,6,4 Striker
0,6,6 Auto-Bulwark
0,6,7 Stockade
0,6,8 Fencer
0,6,9 Impeder
0,6,10 Quadwark
0,7,2 Arbalest
0,7,3 Matchlock
0,7,4 Auto-Musket
0,7,5 Duelist
1,0,0 Ranger
1,0,2 Stalker
1,0,3 Auto-Assassin
1,0,5 Hitman
1,0,6 Sniper-3
1,0,7 Enforcer
1,0,8 Courser
1,0,9 Executor
1,1,0 Predator
1,1,1 Poacher
1,1,4 Auto-Hunter
1,1,5 Mega Hunter
1,1,6 Prober
1,1,8 Butcher
1,1,9 Reverberator
1,3,1 Crossbow
1,3,2 Armsman
1,3,3 Auto-Rifle
1,3,6 Ransacker
1,3,7 Thunderclap
1,4,1 Anchor
1,4,5 Raider
1,4,6 Molder
1,4,7 Thrasher
1,4,8 Auto-Bushwhacker
1,4,9 Blowgun
1,4,10 Lockup
1,4,11 Watchman
1,4,12 Tri-Bushwhacker
1,5,4 Deadeye
1,5,5 Auto-Railgun
1,5,7 Covert
2,1,0 Streamliner
2,1,1 Nailgun
2,1,2 Crop Duster
2,1,5 Taser
2,1,6 Zipper
2,1,7 Bent Minigun
2,1,8 Auto-Minigun
2,1,9 Widget
2,1,10 Tommy
2,1,11 Machgun
2,2,0 Auto-Gunner
2,2,2 Auto-4
2,2,3 Machine Gunner
2,2,4 Gunner Trapper
2,2,5 Cyclone
2,2,6 Overgunner
2,2,10 Rimfire
2,2,11 Volley
2,2,12 Double Gunner
2,2,13 Bent Gunner
2,2,14 Equalizer
2,2,15 Dam
2,3,0 Jalopy
2,3,2 Diesel Trapper
2,3,3 Polluter
2,3,4 Auto-Diesel
2,3,5 Foamer
2,3,6 Gizmo
2,4,3 Machine Guard
2,4,6 Tri-Machine
2,4,7 Expeller
2,4,8 Auto-Machine Trapper
2,4,9 Deviation
2,4,10 Frother
2,4,11 Machine Mega Trapper
2,5,0 Duster
2,5,2 Scatterer
2,5,4 Shower
2,5,5 Auto-Sprayer
3,1,0 Fighter
3,1,1 Booster
